ch_name,city,lat_and_lon
上海市徐汇区龙吴路1343弄,上海,"121.450089,31.137071"
上海市徐汇区龙吴路2588弄,上海,"121.457386,31.114427"
上海市徐汇区斜土路2200弄,上海,"121.45011,31.192092"
上海市徐汇区天钥桥南路1249弄,上海,"121.456018,31.152105"
上海市徐汇区桂林东街28弄,上海,"121.423384,31.154414"
上海市徐汇区冠生园路403弄,上海,"121.424212,31.162319"
上海市徐汇区大木桥路599弄,上海,"121.465739,31.193994"
上海市徐汇区汇成一村,上海,"121.432129,31.146969"
上海市徐汇区老沪闵路1039弄,上海,"121.434361,31.131073"
上海市徐汇区梅陇四村,上海,"121.421361,31.136436"
上海市徐汇区龙州路425弄,上海,"121.426502,31.129881"
上海市徐汇区罗秀路930弄,上海,"121.43015,31.131027"
上海市徐汇区凯旋一村,上海,"121.424595,31.193372"
上海市徐汇区康健路100弄,上海,"121.427308,31.164644"
上海市徐汇区钦州南路8弄,上海,"121.427383,31.162532"
上海市徐汇区华济路2弄,上海,"121.462279,31.116488"
上海市徐汇区龙吴路2418弄,上海,"121.457131,31.119494"
上海市徐汇区龙吴路2388弄,上海,"121.457193,31.122297"
上海市徐汇区龙吴路1323弄,上海,"121.449909,31.139622"
上海市徐汇区长桥七村,上海,"121.430949,31.152699"
上海市徐汇区龙吴路555弄,上海,"121.449246,31.157124"
上海市徐汇区梅陇十一村,上海,"121.427352,31.132682"
上海市徐汇区宾南路36弄,上海,"121.436287,31.160317"
上海市徐汇区龙南五村,上海,"121.454027,31.15521"
上海市徐汇区桂林西街30弄,上海,"121.41781,31.154461"
上海市徐汇区天钥新村,上海,"121.446669,31.18748"
上海市徐汇区梅陇路130号,上海,"121.420309,31.141845"
上海市徐汇区五原路84弄,上海,"121.447264,31.213894"
上海市徐汇区乐山路10弄,上海,"121.432452,31.197076"
上海市徐汇区老沪闵路666弄,上海,"121.429357,31.145152"
上海市徐汇区清真路99弄,上海,"121.459098,31.199007"
上海市徐汇区化工二三村,上海,"121.417418,31.138213"
上海市徐汇区龙吴路1717弄,上海,"121.453004,31.131703"
上海市徐汇区龙吴路1727弄,上海,"121.453819,31.131523"
上海市徐汇区长桥四村,上海,"121.437979,31.134934"
上海市徐汇区龙华路2373弄,上海,"121.452409,31.182258"
上海市徐汇区古宜路180弄,上海,"121.425742,31.187265"
上海市徐汇区天等路259弄,上海,"121.426641,31.135712"
上海市徐汇区田林三村,上海,"121.424043,31.171027"
上海市徐汇区田林十三村。,上海,"121.428155,31.177088"
