ch_name,city,lat_and_lon
上海市松江区涞亭南路888弄,上海,"121.339244,31.125262"
上海市松江区影振路299弄,上海,"121.309007,31.005225"
上海市松江区陈春公路911弄,上海,"121.328301,31.069677"
上海市松江区银都西路85号,上海,"121.368924,31.082459"
上海市松江区庄家村,上海,"121.11138,31.058233"
上海市松江区涞坊路288弄,上海,"121.314786,31.155842"
上海市松江区涞亭北路600弄,上海,"121.326661,31.156124"
上海市松江区米筛浜路475弄,上海,"121.227747,31.032243"
上海市松江区崇南公路599弄,上海,"121.142362,31.027261"
上海市松江区陈春公路555弄,上海,"121.35516,31.075036"
上海市松江区盛龙路817号,上海,"121.310385,31.11998"
上海市松江区九亭大街254号,上海,"121.335653,31.132398"
上海市松江区新南路1259弄,上海,"121.335628,31.086462"
上海市松江区长溇村,上海,"121.286372,30.964782"
上海市松江区莘松路1500弄。,上海,"121.338842,31.097157"
