ch_name,city,lat_and_lon
上海市静安区芷江西路593弄,上海,"121.455005,31.256652"
上海市静安区场中路1011弄,上海,"121.465187,31.30631"
上海市静安区余姚路321弄,上海,"121.438109,31.234995"
上海市静安区中山北路899弄,上海,"121.455516,31.261153"
上海市静安区柳营路1085号,上海,"121.449175,31.260592"
上海市静安区康定东路63弄,上海,"121.456516,31.237209"
上海市静安区普善路铁路新村18号,上海,"121.454871,31.256097"
上海市静安区普善路128弄,上海,"121.45609,31.255196"
上海市静安区普善路铁路新村12号,上海,"121.454338,31.255786"
上海市静安区中华新路836号,上海,"121.457101,31.253902"
上海市静安区中华新路939弄,上海,"121.455049,31.254744"
上海市静安区中山北路814弄,上海,"121.457964,31.259257"
上海市静安区永兴小马路70号,上海,"121.464365,31.251356"
上海市静安区西藏北路853弄,上海,"121.467503,31.256345"
上海市静安区会文路3号,上海,"121.473216,31.250905"
上海市静安区芷江西路285弄,上海,"121.461234,31.257666"
上海市静安区芷江西路521弄,上海,"121.456554,31.257766"
上海市静安区普善路239弄,上海,"121.4574,31.259435"
上海市静安区大统路938弄,上海,"121.459152,31.254043"
上海市静安区原平路917弄。,上海,"121.430632,31.295296"
