ch_name,city,lat_and_lon
上海市嘉定区沪宜公路3066弄,上海,"121.261941,31.366832"
上海市嘉定区安边路1558号,上海,"121.36895,31.253013"
上海市嘉定区宝乐路58弄,上海,"121.288358,31.331366"
上海市嘉定区宝钱公路1083号,上海,"121.27699,31.444668"
上海市嘉定区北和公路1650号,上海,"121.17941,31.424659"
上海市嘉定区曹安公路1183号,上海,"121.26939,31.273551"
上海市嘉定区曹安公路1777号,上海,"121.363675,31.252585"
上海市嘉定区曹安公路1901号,上海,"121.359856,31.252552"
上海市嘉定区曹安公路1936号,上海,"121.360269,31.255316"
上海市嘉定区曹安公路1991号,上海,"121.352355,31.255858"
上海市嘉定区槎溪路650弄,上海,"121.323486,31.288057"
上海市嘉定区城北路3980号,上海,"121.195307,31.448587"
上海市嘉定区城中路35号,上海,"121.252751,31.376724"
上海市嘉定区慈竹路175弄,上海,"121.212114,31.379178"
上海市嘉定区大北街254弄,上海,"121.212782,31.430041"
上海市嘉定区海波路1000弄,上海,"121.328921,31.270061"
上海市嘉定区海波路850弄,上海,"121.331122,31.270041"
上海市嘉定区海川路58弄,上海,"121.349444,31.26624"
上海市嘉定区海蓝路98弄,上海,"121.338852,31.263337"
上海市嘉定区鹤望路365弄,上海,"121.326869,31.24624"
上海市嘉定区华江支路677弄,上海,"121.338199,31.264128"
上海市嘉定区华江路23号,上海,"121.345954,31.257749"
上海市嘉定区汇善路1333弄,上海,"121.205427,31.403036"
上海市嘉定区汇通路25号,上海,"121.186506,31.403568"
上海市嘉定区嘉戬公路658弄,上海,"121.29219,31.37844"
上海市嘉定区嘉美路1050弄,上海,"121.278625,31.301802"
上海市嘉定区嘉唐公路99弄,上海,"121.240245,31.39196"
上海市嘉定区嘉新公路668弄,上海,"121.27003,31.36051"
上海市嘉定区嘉涌路88弄,上海,"121.338824,31.268466"
上海市嘉定区金鼎路2588弄,上海,"121.359522,31.259741"
上海市嘉定区金耀南路299弄,上海,"121.309863,31.236027"
上海市嘉定区金园八路439号,上海,"121.310184,31.254849"
上海市嘉定区靖远路490弄,上海,"121.340648,31.256974"
上海市嘉定区菊城路311号,上海,"121.218919,31.351014"
上海市嘉定区汇德路668号,上海,"121.168695,31.389608"
上海市嘉定区康丰路201弄,上海,"121.274667,31.320632"
上海市嘉定区临潭路491弄,上海,"121.339633,31.256564"
上海市嘉定区临夏路800弄,上海,"121.32818,31.257787"
上海市嘉定区临夏路98弄,上海,"121.337139,31.259186"
上海市嘉定区娄塘路626弄,上海,"121.217635,31.430881"
上海市嘉定区娄塘路658弄,上海,"121.21715,31.4305"
上海市嘉定区秋竹路816号,上海,"121.219418,31.383597"
上海市嘉定区胜竹路1760弄,上海,"121.25795,31.404253"
上海市嘉定区铜川路2655弄,上海,"121.363601,31.254921"
上海市嘉定区潼关路113号,上海,"121.358284,31.259865"
上海市嘉定区万镇路1177弄,上海,"121.378669,31.253444"
上海市嘉定区旺泾公路218号,上海,"121.183908,31.409839"
上海市嘉定区吴杨路100弄,上海,"121.298041,31.26878"
上海市嘉定区希望路1333弄,上海,"121.248307,31.331278"
上海市嘉定区永靖路501弄,上海,"121.25692,31.40245"
上海市嘉定区榆中路140-142号,上海,"121.326174,31.25589"
上海市嘉定区云谷路1233弄,上海,"121.246694,31.345427"
上海市嘉定区中大街140弄,上海,"121.217032,31.430785"
上海市嘉定区双单路德立路交叉口工地,上海,"121.276685,31.337312"
上海市嘉定区华亭镇毛桥村、塔桥村、唐行石村,上海,"121.249873,31.455225"
上海市嘉定区嘉定工业区草庵村、旺泾村、白墙村、黎明村、人民村,上海,"121.212298,31.383112"
上海市嘉定区嘉定镇街道桃园小区,上海,"121.244538,31.387905"
上海市嘉定区江桥镇高潮村、增建村、高榆新村、恒嘉花园,上海,"121.325973,31.253252"
上海市嘉定区马陆镇骏丰玲珑坊西苑,上海,"121.273935,31.319419"
上海市嘉定区南翔镇新丰村,上海,"121.301795,31.320641"
上海市嘉定区徐行镇伏虎村、徐行村,上海,"121.274294,31.419314"
上海市嘉定区真新街道玄锦公寓。,上海,"121.368971,31.252977"
