ch_name,city,lat_and_lon
上海市奉贤区安中路108号,上海,"121.399954,30.960564"
上海市奉贤区南奉公路3111弄,上海,"121.58025,30.923618"
上海市奉贤区南桥新城17单元19-02区域地块,上海,"121.503082,30.918072"
上海市奉贤区西闸路75号,上海,"121.433803,30.99512"
上海市奉贤区蔡家桥村,上海,"121.644531,30.984893"
上海市奉贤区南奉公路999号,上海,"121.619963,30.913307"
上海市奉贤区陆家桥村,上海,"121.62518,30.956539"
上海市奉贤区汇中路116号,上海,"121.473927,30.985063"
上海市奉贤区南明路191号,上海,"121.575438,30.929727"
上海市奉贤区德政路298弄,上海,"121.474042,30.917795"
上海市奉贤区金海公路2898弄,上海,"121.50034,30.899704"
上海市奉贤区朱店村,上海,"121.554326,30.919581"
上海市奉贤区申隆二村,上海,"121.561432,30.888297"
上海市奉贤区梁典村,上海,"121.598204,30.963714"
上海市奉贤区姚家村,上海,"121.579432,30.917008"
上海市奉贤区农民街118弄。,上海,"121.516743,30.952968"
