ch_name,city,lat_and_lon
上海市宝山区宝安公路2195号,上海,"121.342074,31.347894"
上海市宝山区宝绿路99弄,上海,"121.383664,31.356314"
上海市宝山区场北路399弄,上海,"121.430217,31.333667"
上海市宝山区大沙宅,上海,"121.344007,31.334786"
上海市宝山区丹霞山路257弄,上海,"121.362334,31.362597"
上海市宝山区富联二路55弄,上海,"121.406081,31.368916"
上海市宝山区共和新路4719弄,上海,"121.449717,31.320496"
上海市宝山区顾北东路155弄,上海,"121.413109,31.35975"
上海市宝山区场北路550弄,上海,"121.428043,31.33213"
上海市宝山区顾陈路231弄,上海,"121.394206,31.341101"
上海市宝山区涵青路100弄,上海,"121.398885,31.329547"
上海市宝山区呼兰西路123号,上海,"121.431641,31.339675"
上海市宝山区沪太路3717弄,上海,"121.400655,31.344204"
上海市宝山区顾北东路500弄,上海,"121.406035,31.355609"
上海市宝山区佳龙路516号,上海,"121.379584,31.33789"
上海市宝山区锦秋路699弄,上海,"121.38912,31.324012"
上海市宝山区菊联路68弄,上海,"121.368796,31.349341"
上海市宝山区沪太路4361号,上海,"121.396635,31.343853"
上海市宝山区顾陈路388号,上海,"121.389356,31.336672"
上海市宝山区菊盛路1158弄,上海,"121.369273,31.365685"
上海市宝山区沪太路4332号,上海,"121.398939,31.341711"
上海市宝山区老安村,上海,"121.373326,31.365839"
上海市宝山区罗店路840弄,上海,"121.489612,31.405457"
上海市宝山区南蕰藻路408号,上海,"121.43025,31.340659"
上海市宝山区祁华路300弄,上海,"121.380684,31.323096"
上海市宝山区羌家村,上海,"121.385992,31.357376"
上海市宝山区沙浦路311弄,上海,"121.389336,31.354398"
上海市宝山区菊太路1399弄,上海,"121.35202,31.347"
上海市宝山区上大路218弄,上海,"121.402953,31.31102"
上海市宝山区水产西路738号,上海,"121.416916,31.356135"
上海市宝山区泗塘四村,上海,"121.46016,31.336688"
上海市宝山区顾陈路455弄,上海,"121.389718,31.338585"
上海市宝山区菊太路777弄,上海,"121.365599,31.351283"
上海市宝山区泰和路1700号,上海,"121.447616,31.35362"
上海市宝山区水产西路999弄,上海,"121.411083,31.354224"
上海市宝山区铁城路1555号,上海,"121.453776,31.357171"
上海市宝山区菊盛路851弄,上海,"121.367731,31.359761"
上海市宝山区通河四村,上海,"121.445234,31.330689"
上海市宝山区顾陈路321号,上海,"121.391961,31.340472"
上海市宝山区泗塘八村,上海,"121.457207,31.329817"
上海市宝山区通河一村,上海,"121.447716,31.336028"
上海市宝山区菊太路1078弄,上海,"121.355159,31.345459"
上海市宝山区通南路328弄,上海,"121.472181,31.331708"
上海市宝山区沪太路5018号,上海,"121.380609,31.350506"
上海市宝山区五星村,上海,"121.34691,31.304714"
上海市宝山区新沪路475弄,上海,"121.418123,31.271108"
上海市宝山区长临路1318弄,上海,"121.430272,31.328516"
上海市宝山区朱家弄村,上海,"121.387598,31.340654"
上海市宝山区菊泉街1346弄,上海,"121.371361,31.362353"
上海市宝山区竹韵路58弄,上海,"121.445075,31.364216"
上海市宝山区走马塘路1228弄。,上海,"121.37214,31.304864"
