ch_name,city,lat_and_lon
上海市崇明区南海村,上海,"121.690783,31.520143"
上海市崇明区四滧村,上海,"121.656966,31.526407"
上海市崇明区米行村,上海,"121.699633,31.532939"
上海市崇明区小漾村,上海,"121.664742,31.547748"
上海市崇明区永和村,上海,"121.630903,31.539857"
上海市崇明区五滧村,上海,"121.6762,31.535298"
上海市崇明区瀛南村,上海,"121.672498,31.518882"
上海市崇明区新开河路674号,上海,"121.523651,31.581891"
上海市崇明区红北村,上海,"121.544102,31.688329"
上海市崇明区先进村,上海,"121.689171,31.392051"
上海市崇明区渔傲路132弄,上海,"121.769619,31.357528"
上海市崇明区凤西路1933号,上海,"121.685149,31.408116"
上海市崇明区潘圆公路161弄,上海,"121.684087,31.401321"
上海市崇明区江南大道。,上海,"121.737819,31.368427"
