ch_name,city,lat_and_lon
上海市普陀区北石路540弄,上海,"121.393097,31.247623"
上海市普陀区靖边路299弄,上海,"121.367137,31.263153"
上海市普陀区华联路130弄,上海,"121.347429,31.276598"
上海市普陀区雪松路458弄,上海,"121.354509,31.288427"
上海市普陀区北石路400弄,上海,"121.396646,31.248179"
上海市普陀区西乡路91弄,上海,"121.423875,31.267383"
上海市普陀区新村路424号,上海,"121.428263,31.265235"
上海市普陀区真南路843弄,上海,"121.381477,31.268636"
上海市普陀区武威路1087弄,上海,"121.352934,31.280411"
上海市普陀区真南路1051弄,上海,"121.379716,31.270358"
上海市普陀区祁连山南路2727弄,上海,"121.370503,31.262223"
上海市普陀区志丹路500弄,上海,"121.432142,31.271727"
上海市普陀区西乡路105弄,上海,"121.426889,31.270121"
上海市普陀区江宁路1415弄,上海,"121.438574,31.246603"
上海市普陀区枣阳路182号,上海,"121.404539,31.235781"
上海市普陀区曹杨七村,上海,"121.409012,31.242069"
上海市普陀区雪松路392弄,上海,"121.356033,31.286848"
上海市普陀区宜川三村,上海,"121.442705,31.258085"
上海市普陀区长寿路505弄,上海,"121.435678,31.237606"
上海市普陀区东新路137弄,上海,"121.4259,31.240847"
上海市普陀区中山北路2451弄200支弄,上海,"121.424044,31.245326"
上海市普陀区昌化路994弄,上海,"121.445781,31.245903"
上海市普陀区大渡河路1332弄。,上海,"121.396159,31.238559"
