ch_name,city,lat_and_lon
上海市杨浦区永吉路97弄,上海,"121.533688,31.284029"
上海市杨浦区怀德路366弄,上海,"121.5267,31.256751"
上海市杨浦区凤城三村,上海,"121.521856,31.281809"
上海市杨浦区抚顺路393弄,上海,"121.508585,31.276687"
上海市杨浦区政悦路588弄,上海,"121.526481,31.334295"
上海市杨浦区营口路600弄,上海,"121.535221,31.296821"
上海市杨浦区军工路殷行路铁道停车场,上海,"121.545604,31.327853"
上海市杨浦区东方国际水产中心,上海,"121.54259,31.332373"
上海市杨浦区双阳北路288弄,上海,"121.522833,31.290035"
上海市杨浦区闸殷路75弄,上海,"121.51444,31.310984"
上海市杨浦区鞍山一村,上海,"121.513176,31.276691"
上海市杨浦区怀德路243号,上海,"121.528402,31.25396"
上海市杨浦区市光二村,上海,"121.541396,31.316532"
上海市杨浦区市京一村。,上海,"121.523614,31.319713"
