ch_name,city,lat_and_lon
上海市虹口区广联新苑,上海,"121.471488,31.267354"
上海市虹口区水电路818弄,上海,"121.474224,31.286477"
上海市虹口区水电路1013弄,上海,"121.478214,31.288576"
上海市虹口区奎照路786弄,上海,"121.469776,31.300074"
上海市虹口区株州路399弄,上海,"121.466384,31.278616"
上海市虹口区车站北路491弄,上海,"121.473551,31.296663"
上海市虹口区汶水东路510弄,上海,"121.479483,31.289367"
上海市虹口区广灵二路160号,上海,"121.477226,31.282927"
上海市虹口区广灵二路186号,上海,"121.476726,31.282993"
上海市虹口区广中路366弄,上海,"121.47352,31.277493"
上海市虹口区新市路228号,上海,"121.480668,31.286706"
上海市虹口区花园路118弄,上海,"121.47514,31.26986"
上海市虹口区广灵四路148号,上海,"121.479199,31.286316"
上海市虹口区友谊二村,上海,"121.479438,31.285178"
上海市虹口区友谊三村,上海,"121.47794,31.283628"
上海市虹口区祥德路139弄,上海,"121.48669,31.271221"
上海市虹口区广灵二村,上海,"121.478483,31.285808"
上海市虹口区飞虹路187弄,上海,"121.50204,31.262036"
上海市虹口区水电路120号,上海,"121.472713,31.273521"
上海市虹口区西江湾路168弄。,上海,"121.477996,31.26822"
