ch_name,city,lat_and_lon
上海市长宁区宣化路52弄,上海,"121.430191,31.218197"
上海市长宁区宣化路299弄,上海,"121.424883,31.216662"
上海市长宁区华阳路165弄,上海,"121.422723,31.22358"
上海市长宁区愚园路1032弄131支弄,上海,"121.428271,31.218852"
上海市长宁区愚园路1210弄,上海,"121.426457,31.220081"
上海市长宁区镇宁路111号,上海,"121.436176,31.217559"
上海市长宁区西诸安浜路425弄,上海,"121.429297,31.216208"
上海市长宁区东诸安浜路103号,上海,"121.434387,31.21729"
上海市长宁区东诸安浜路158弄,上海,"121.433413,31.219517"
上海市长宁区长宁路1302弄,上海,"121.412927,31.218846"
上海市长宁区中华新村,上海,"121.417163,31.199016"
上海市长宁区愚园路1240弄,上海,"121.428271,31.218852"
上海市长宁区愚园路888弄,上海,"121.431705,31.219653"
上海市长宁区绥宁路628号（公寓）,上海,"121.34707,31.2157"
上海市长宁区延安西路1289弄,上海,"121.426702,31.21106"
上海市长宁区万航渡路1455号,上海,"121.421067,31.224741"
上海市长宁区玉屏南路725号,上海,"121.40105,31.214778"
上海市长宁区仙霞西路885弄,上海,"121.363775,31.212032"
上海市长宁区镇宁路225弄,上海,"121.438774,31.214431"
上海市长宁区金钟路68弄,上海,"121.369998,31.220469"
上海市长宁区金钟路255弄,上海,"121.365792,31.21922"
上海市长宁区金钟路340弄,上海,"121.366774,31.221389"
上海市长宁区金钟路333弄,上海,"121.361636,31.220112"
上海市长宁区中山西路1231号,上海,"121.41776,31.194571"
上海市长宁区哈密路398弄,上海,"121.375201,31.212385"
上海市长宁区西陶浜路33弄,上海,"121.362597,31.221787"
上海市长宁区玉屏南路110弄,上海,"121.411485,31.213801"
上海市长宁区绿新小区,上海,"121.370594,31.218207"
上海市长宁区新华路261弄,上海,"121.427426,31.202609"
上海市长宁区天山西路351弄,上海,"121.367735,31.217526"
上海市长宁区延安西路1030弄。,上海,"121.431682,31.212216"
