ch_name,city,lat_and_lon
上海市闵行区安宁路330弄,上海,"121.414121,31.013899"
上海市闵行区报春路816弄,上海,"121.377703,31.121386"
上海市闵行区报春路817弄,上海,"121.377513,31.119973"
上海市闵行区报春路862弄,上海,"121.374375,31.121888"
上海市闵行区北江燕路228弄,上海,"121.503944,31.079909"
上海市闵行区北沈路260弄,上海,"121.335595,31.229087"
上海市闵行区碧江路501弄,上海,"121.399999,31.014902"
上海市闵行区沧源路755弄,上海,"121.429699,31.014681"
上海市闵行区曹家塘路220弄,上海,"121.44499,31.041107"
上海市闵行区曹中村,上海,"121.432971,31.088564"
上海市闵行区漕宝路1467弄,上海,"121.379617,31.158742"
上海市闵行区春申路1581弄,上海,"121.432956,31.114862"
上海市闵行区春申路1717弄,上海,"121.428887,31.113058"
上海市闵行区灯辉路1169弄,上海,"121.415217,31.030633"
上海市闵行区东川路800号,上海,"121.437279,31.024347"
上海市闵行区东风村,上海,"121.544703,31.102591"
上海市闵行区东华美路220弄,上海,"121.33241,31.22155"
上海市闵行区东兰路307弄,上海,"121.391716,31.154462"
上海市闵行区都会路2799弄,上海,"121.410623,31.07926"
上海市闵行区都市路1900弄,上海,"121.413561,31.056171"
上海市闵行区富岩路230弄,上海,"121.372162,31.030293"
上海市闵行区富岩路328弄,上海,"121.371156,31.032433"
上海市闵行区共和村,上海,"121.464682,31.049725"
上海市闵行区顾戴路3100弄,上海,"121.350809,31.127597"
上海市闵行区光继村,上海,"121.5344,31.002635"
上海市闵行区元和路181弄,上海,"121.382579,31.049596"
上海市闵行区广南路666弄,上海,"121.462741,31.039875"
上海市闵行区鹤庆路358弄,上海,"121.41602,31.00876"
上海市闵行区红松路600弄,上海,"121.362645,31.181765"
上海市闵行区红松路81弄,上海,"121.37659,31.181235"
上海市闵行区虹梅路3297弄,上海,"121.384483,31.188445"
上海市闵行区虹梅路3321弄,上海,"121.382838,31.188017"
上海市闵行区虹梅南路1005号,上海,"121.423321,31.124107"
上海市闵行区虹梅南路1526弄,上海,"121.430725,31.118858"
上海市闵行区虹梅南路1770弄,上海,"121.429933,31.112168"
上海市闵行区虹梅南路1776弄,上海,"121.42819,31.114347"
上海市闵行区虹梅南路1781弄,上海,"121.428221,31.106884"
上海市闵行区虹梅南路2555弄,上海,"121.428994,31.097863"
上海市闵行区虹梅南路788号,上海,"121.422778,31.12591"
上海市闵行区虹莘路1876弄,上海,"121.382273,31.135966"
上海市闵行区虹莘路1955弄,上海,"121.379597,31.135912"
上海市闵行区沪光路39弄,上海,"121.4218,31.080908"
上海市闵行区沪光路425弄,上海,"121.418894,31.080058"
上海市闵行区华美路100弄,上海,"121.333302,31.221949"
上海市闵行区华宁路1399弄,上海,"121.392608,31.024331"
上海市闵行区华坪路9弄,上海,"121.424879,31.000802"
上海市闵行区华展路168弄,上海,"121.452434,31.11196"
上海市闵行区剑川路150弄,上海,"121.465556,31.041659"
上海市闵行区剑川路198弄,上海,"121.46262,31.04188"
上海市闵行区江川路241弄,上海,"121.423913,31.003917"
上海市闵行区江航路60弄,上海,"121.538929,31.04669"
上海市闵行区江文路330弄,上海,"121.54093,31.062617"
上海市闵行区金平路328弄,上海,"121.409446,31.014369"
上海市闵行区金平路788弄,上海,"121.407452,31.020875"
上海市闵行区金阳路116弄,上海,"121.417199,31.036794"
上海市闵行区景谷中路58弄,上海,"121.416412,31.019843"
上海市闵行区景联路257号,上海,"121.448168,31.100461"
上海市闵行区老沪闵路1351弄,上海,"121.432942,31.113094"
上海市闵行区黎安三村,上海,"121.374067,31.131462"
上海市闵行区龙柏四村,上海,"121.363278,31.1786"
上海市闵行区龙吴路5511弄,上海,"121.466472,31.044328"
上海市闵行区龙吴路5530弄,上海,"121.468962,31.042555"
上海市闵行区龙吴路5599弄,上海,"121.466086,31.039358"
上海市闵行区芦胜村,上海,"121.480641,31.107911"
上海市闵行区罗锦路111弄,上海,"121.414605,31.124177"
上海市闵行区罗秀路1339弄,上海,"121.419377,31.128597"
