ch_name,city,lat_and_lon
上海市黄浦区斜土路486弄,上海,"121.47748,31.203181"
上海市黄浦区兴安路98弄,上海,"121.470795,31.221113"
上海市黄浦区思南路82弄,上海,"121.470884,31.209628"
上海市黄浦区斜土路460弄,上海,"121.477692,31.203162"
上海市黄浦区打浦路339弄,上海,"121.472809,31.199303"
上海市黄浦区五里桥路235弄,上海,"121.480164,31.203883"
上海市黄浦区黄陂南路688号,上海,"121.477084,31.214802"
上海市黄浦区斜土路468号,上海,"121.477434,31.203474"
上海市黄浦区制造局路567弄,上海,"121.485503,31.203569"
上海市黄浦区学院路127弄,上海,"121.495312,31.223297"
上海市黄浦区四川南路44弄1号,上海,"121.490546,31.230488"
上海市黄浦区蒙自西路28弄3号,上海,"121.476347,31.207248"
上海市黄浦区顺昌路612弄36号,上海,"121.479423,31.211192"
上海市黄浦区丽园路873号,上海,"121.476114,31.206754"
上海市黄浦区顺昌路612弄37号,上海,"121.479277,31.211101"
上海市黄浦区蓬莱路405弄,上海,"121.487167,31.216835"
上海市黄浦区陆家浜路468弄,上海,"121.496262,31.210448"
上海市黄浦区瞿溪路17号,上海,"121.496518,31.207188"
上海市黄浦区瞿溪路120弄,上海,"121.496381,31.207017"
上海市黄浦区徽宁路10号,上海,"121.489187,31.209637"
上海市黄浦区车站支路99弄,上海,"121.49228,31.20822"
上海市黄浦区海潮路230弄,上海,"121.497204,31.207937"
上海市黄浦区中山南路1586弄,上海,"121.49547,31.205919"
上海市黄浦区海潮路256弄,上海,"121.496824,31.20732"
上海市黄浦区西凌家宅路123号,上海,"121.485807,31.204113"
上海市黄浦区瞿溪路123号,上海,"121.49438,31.206607"
上海市黄浦区普育东路200弄7号,上海,"121.494631,31.20787"
上海市黄浦区大吉路310弄,上海,"121.481935,31.21278"
上海市黄浦区中山南路200弄10号楼,上海,"121.502199,31.223012"
上海市黄浦区打浦路316弄2号,上海,"121.471381,31.199581"
上海市黄浦区蒙自西路72弄,上海,"121.47515,31.206858"
上海市黄浦区永年路149弄,上海,"121.479088,31.211543"
上海市黄浦区顺昌路550弄,上海,"121.479231,31.211863"
上海市黄浦区顺昌路612弄22号,上海,"121.479243,31.210969"
上海市黄浦区顺昌路612弄23号,上海,"121.479288,31.210889"
上海市黄浦区顺昌路612弄33号,上海,"121.478858,31.210743"
上海市黄浦区顺昌路612弄47号,上海,"121.479006,31.211097"
上海市黄浦区淡水路266弄,上海,"121.472933,31.216296"
上海市黄浦区永年路117号,上海,"121.479318,31.212104"
上海市黄浦区淡水路332弄5号,上海,"121.473137,31.214444"
上海市黄浦区国货路236号,上海,"121.494916,31.208809"
上海市黄浦区中山南路1358弄,上海,"121.49935,31.208795"
上海市黄浦区保屯路50弄,上海,"121.48935,31.206584"
上海市黄浦区永年路178弄,上海,"121.477907,31.212227"
上海市黄浦区黄陂南路783号,上海,"121.477754,31.212375"
上海市黄浦区安澜路41号,上海,"121.486368,31.215868"
上海市黄浦区顺昌路580号,上海,"121.479515,31.211564"
上海市黄浦区光启路131号,上海,"121.494482,31.223636"
上海市黄浦区建国东路328弄,上海,"121.475946,31.212383"
上海市黄浦区瑞金二路410弄,上海,"121.465416,31.207105"
上海市黄浦区局门路213号,上海,"121.4808,31.206686"
上海市黄浦区局门路241弄,上海,"121.480398,31.207782"
上海市黄浦区顺昌路594号,上海,"121.479553,31.211293"
上海市黄浦区顺昌路560号,上海,"121.479409,31.211975"
上海市黄浦区顺昌路582号,上海,"121.47952,31.211468"
上海市黄浦区海潮路93弄,上海,"121.499306,31.210443"
上海市黄浦区瞿溪路123号,上海,"121.49438,31.206607"
上海市黄浦区徽宁路164号。,上海,"121.493249,31.211527"
