ch_name,city,lat_and_lon
上海市浦东新区国展路1756号工地生活区,上海,"121.527808,31.180154"
上海市浦东新区康安路御北路交界口工地生活区,上海,"121.567091,31.156931"
上海市浦东新区环龙路439弄,上海,"121.524711,31.200514"
上海市浦东新区华夏二路1455弄,上海,"121.693031,31.173095"
上海市浦东新区潍坊五村,上海,"121.523696,31.220026"
上海市浦东新区灵岩南路144号,上海,"121.493964,31.160229"
上海市浦东新区洪山路1658弄,上海,"121.506234,31.154442"
上海市浦东新区富航路105弄,上海,"121.596869,31.033076"
上海市浦东新区航鸣路200弄,上海,"121.603251,31.02194"
上海市浦东新区浦电路48弄,上海,"121.516671,31.218789"
上海市浦东新区浦城路580弄,上海,"121.514228,31.225032"
上海市浦东新区栖山路1855号,上海,"121.571483,31.260775"
上海市浦东新区利津路729弄,上海,"121.588928,31.276013"
上海市浦东新区浦东大道2554号,上海,"121.5624,31.25906"
上海市浦东新区鹤鸣村,上海,"121.58823,31.045703"
上海市浦东新区潍坊八村,上海,"121.527081,31.218341"
上海市浦东新区百花新村,上海,"121.585538,31.110746"
上海市浦东新区观海路999弄,上海,"121.782715,31.054767"
上海市浦东新区三三公路5020弄,上海,"121.907389,30.953997"
上海市浦东新区浦东大道2567弄,上海,"121.561992,31.260095"
上海市浦东新区义泓村,上海,"121.829615,31.074272"
上海市浦东新区新安村,上海,"121.681339,31.023252"
上海市浦东新区博华路999弄,上海,"121.549218,31.171144"
上海市浦东新区妙境路124弄,上海,"121.68907,31.19706"
上海市浦东新区新行路高行家园,上海,"121.613605,31.295003"
上海市浦东新区池月路848弄,上海,"121.814511,30.910063"
上海市浦东新区拱极路2626弄,上海,"121.773906,31.053671"
上海市浦东新区新浦路251弄,上海,"121.539229,31.159336"
上海市浦东新区南新村吴家宅,上海,"121.7887,30.87171"
上海市浦东新区拱北路278弄,上海,"121.764606,31.056479"
上海市浦东新区行泰路150弄,上海,"121.606962,31.289524"
上海市浦东新区拱为路2600弄,上海,"121.738148,31.054468"
上海市浦东新区通济路328弄,上海,"121.748086,31.052402"
上海市浦东新区凌兆路99弄,上海,"121.491045,31.142481"
上海市浦东新区双桥路1108弄,上海,"121.613978,31.283079"
上海市浦东新区鹤驰路99弄,上海,"121.594836,31.078988"
上海市浦东新区西北新邨,上海,"121.751363,31.04787"
上海市浦东新区联勤村冯桥队张家宅,上海,"121.551406,31.168369"
上海市浦东新区联勤村李家队李家宅,上海,"121.549804,31.161626"
上海市浦东新区康花新村,上海,"121.544863,31.14879"
上海市浦东新区鹏飞路411弄,上海,"121.555994,31.170662"
上海市浦东新区金桥路530弄,上海,"121.574344,31.26157"
上海市浦东新区玉盘北路288弄,上海,"121.67255,31.225235"
上海市浦东新区药师新村,上海,"121.681922,31.203419"
上海市浦东新区金桥路301弄,上海,"121.57189,31.26697"
上海市浦东新区长岛路728弄,上海,"121.585826,31.258312"
上海市浦东新区巨峰路399弄,上海,"121.59502,31.281763"
上海市浦东新区银峰路676弄,上海,"121.678224,31.263027"
上海市浦东新区高宝路68弄,上海,"121.617778,31.289128"
上海市浦东新区鹏飞路28弄,上海,"121.556563,31.173033"
上海市浦东新区罗山路108弄,上海,"121.577198,31.197565"
上海市浦东新区张扬路1515弄,上海,"121.536494,31.235289"
上海市浦东新区申大公寓,上海,"121.590083,31.253847"
上海市浦东新区浦东大道580号,上海,"121.521368,31.240266"
上海市浦东新区云山路1039弄,上海,"121.57291,31.24857"
上海市浦东新区临沂一村,上海,"121.512948,31.197634"
上海市浦东新区芳芯路251弄,上海,"121.556565,31.192099"
上海市浦东新区中科路2635弄,上海,"121.636706,31.190385"
上海市浦东新区顺和路126弄,上海,"121.627252,31.185887"
上海市浦东新区梅山苑,上海,"121.487801,31.160261"
上海市浦东新区浦建路60弄,上海,"121.519395,31.20775"
上海市浦东新区南门大街70弄,上海,"121.7573,31.044338"
上海市浦东新区华鹏路390弄,上海,"121.523522,31.179085"
上海市浦东新区胜利路30弄,上海,"121.68556,31.241119"
上海市浦东新区上浦路202弄,上海,"121.49188,31.144468"
上海市浦东新区新丰村,上海,"121.647911,31.163181"
上海市浦东新区中界村蔡家宅,上海,"121.798289,31.078007"
上海市浦东新区鹏岳路70弄,上海,"121.552553,31.174286"
上海市浦东新区下南路115弄,上海,"121.544328,31.166234"
上海市浦东新区中界村苏家队苏家宅,上海,"121.570671,31.184798"
上海市浦东新区五星村陈家队陈家宅,上海,"121.565209,31.176723"
上海市浦东新区御桥村姚家宅,上海,"121.576303,31.184603"
上海市浦东新区下南路225弄,上海,"121.542832,31.167969"
上海市浦东新区钱堂村长浜宅,上海,"121.561855,31.039991"
上海市浦东新区浙桥路277号,上海,"121.600645,31.25203"
上海市浦东新区下南路东钟家宅,上海,"121.542313,31.16645"
上海市浦东新区莲园路8弄,上海,"121.542758,31.183858"
上海市浦东新区御桥村印家队东印家圈,上海,"121.558028,31.168001"
上海市浦东新区峨山路280弄,上海,"121.526694,31.214418"
上海市浦东新区蓝村路501弄,上海,"121.524361,31.212109"
上海市浦东新区下南路501弄,上海,"121.540982,31.172397"
上海市浦东新区博华路498弄,上海,"121.548427,31.179239"
上海市浦东新区紫叶路76弄,上海,"121.551522,31.181761"
